region_id,association_id,RAS_number,name
1004,800314,RASGPA0333802,Tshwane Taxi Owners Association
1004,800316,RASGPA0333784,Zwanani Marabastad Taxi Association
1005,800318,RASGPA0134188,BLACK UNION OF SOUTHERN AFRICA TAXI OPERATORS
1005,800320,RASGPA0134226,CARLETONVILLE LOCAL AND LONG DISTANCE TAXI ASSOCIATION
1005,800322,RASGPA0134206,CARLETONVILLE UNITED TAXI ASSOCIATION
1005,800324,RASNWA0333727,GREATER FOCHVILLE TRANSPORT SERVICES
1005,800326,RASGPA0134208,GREATER KRUGERSDORP TAXI ASSOCIATION
1005,800328,RASGPA0134207,GREATER WESTONARIA TRANSPORT SERVICES
1005,800330,RASGPA0333721,KAGISO JHB BARA TRANSPORT SERVICES
1005,800332,RASGPA1134209,KRUGERSDORP & DISTRICT TAXI UNION
1005,800334,RASGPA0333713,Krugersdorp Zeerust Long Distance Transport Association
1005,800336,RASGPA0134211,Leratong Randfontein Baragwanath Taxi Association
1005,800338,RASGPA0134212,Lusaka United Taxi Association
1005,800340,RASGPA0333720,Magaliesburg Rural Taxi Association
1005,800342,RASGPA0333739,MUNSIEVILLE TAXI ASSOCIATION
1005,800344,RASGPA0333704,Poortjie Taxi Association
1005,800348,RASGPA0134216,Randfontein Toekomsrus Taxi Association
1005,800350,RASGPA0333714,Super Cab Transport Association
1005,800352,RASGPA0133726,WEDELA TAXI ASSOCIATION
